CODE;SUBCODE;X;Y;Z;RFLNAAM;DIJKPAAL;Afstand Profielpunten
999;999;160125.50445;424230.55634;8.858900;AD640M00;;
999;999;160125.69928;424231.53718;999999.000000;AD640M00;;
999;999;160125.89410;424232.51802;999999.000000;AD640M00;;
999;999;160126.08892;424233.49886;8.860000;AD640M00;;
999;999;160126.28374;424234.47970;8.919100;AD640M00;;
999;999;160126.47857;424235.46054;8.912700;AD640M00;;
999;999;160126.67339;424236.44138;8.943300;AD640M00;;
999;999;160126.86821;424237.42221;8.948800;AD640M00;;
999;999;160127.06304;424238.40305;8.918300;AD640M00;;
999;999;160127.25786;424239.38389;8.876700;AD640M00;;
999;999;160127.45268;424240.36473;8.822000;AD640M00;;
999;999;160127.64751;424241.34557;8.850000;AD640M00;;
999;999;160127.84233;424242.32641;8.830000;AD640M00;;
999;999;160128.03715;424243.30724;8.619800;AD640M00;;
999;999;160128.23198;424244.28808;8.161800;AD640M00;;
999;999;160128.42680;424245.26892;8.771400;AD640M00;;
999;999;160128.62162;424246.24976;9.071800;AD640M00;;
999;999;160128.81644;424247.23060;9.081900;AD640M00;;
999;999;160129.01127;424248.21144;9.049100;AD640M00;;
999;999;160129.20609;424249.19227;9.056100;AD640M00;;
999;999;160129.40091;424250.17311;9.091600;AD640M00;;
999;999;160129.59574;424251.15395;9.051100;AD640M00;;
999;999;160129.79056;424252.13479;9.051900;AD640M00;;
999;999;160129.98538;424253.11563;9.020000;AD640M00;;
999;999;160130.18021;424254.09647;9.035600;AD640M00;;
999;999;160130.37503;424255.07730;9.049700;AD640M00;;
999;999;160130.56985;424256.05814;9.010700;AD640M00;;
999;999;160130.76468;424257.03898;9.055100;AD640M00;;
999;999;160130.95950;424258.01982;9.059700;AD640M00;;
999;999;160131.15432;424259.00066;9.073000;AD640M00;;
999;999;160131.34914;424259.98150;9.081000;AD640M00;;
999;999;160131.54397;424260.96234;9.090100;AD640M00;;
999;999;160131.73879;424261.94317;9.085900;AD640M00;;
999;999;160131.93361;424262.92401;9.090400;AD640M00;;
999;999;160132.12844;424263.90485;9.163300;AD640M00;;
999;999;160132.32326;424264.88569;9.158400;AD640M00;;
999;999;160132.51808;424265.86653;9.183500;AD640M00;;
999;999;160132.71291;424266.84737;9.224800;AD640M00;;
999;999;160132.90773;424267.82820;9.240300;AD640M00;;
999;999;160133.10255;424268.80904;9.259300;AD640M00;;
999;999;160133.29738;424269.78988;9.262900;AD640M00;;
999;999;160133.49220;424270.77072;9.260700;AD640M00;;
999;999;160133.68702;424271.75156;9.254000;AD640M00;;
999;999;160133.88184;424272.73240;9.250000;AD640M00;;
999;999;160134.07667;424273.71323;9.260800;AD640M00;;
999;999;160134.27149;424274.69407;9.284200;AD640M00;;
999;999;160134.46631;424275.67491;9.269200;AD640M00;;
999;999;160134.66114;424276.65575;9.254400;AD640M00;;
999;999;160134.85596;424277.63659;9.279100;AD640M00;;
999;999;160135.05078;424278.61743;9.283500;AD640M00;;
999;999;160135.24561;424279.59826;9.283900;AD640M00;;
999;999;160135.44043;424280.57910;9.284800;AD640M00;;
999;999;160135.63525;424281.55994;9.280900;AD640M00;;
999;999;160135.83008;424282.54078;9.302200;AD640M00;;
999;999;160136.02490;424283.52162;9.288100;AD640M00;;
999;999;160136.21972;424284.50246;9.271500;AD640M00;;
999;999;160136.41454;424285.48330;9.252900;AD640M00;;
999;999;160136.60937;424286.46413;9.256200;AD640M00;;
999;999;160136.80419;424287.44497;9.237800;AD640M00;;
999;999;160136.99901;424288.42581;9.222100;AD640M00;;
999;999;160137.19384;424289.40665;9.249500;AD640M00;;
999;999;160137.38866;424290.38749;9.204300;AD640M00;;
999;999;160137.58348;424291.36833;9.217800;AD640M00;;
999;999;160137.77831;424292.34916;9.170000;AD640M00;;
999;999;160137.97313;424293.33000;9.168900;AD640M00;;
999;999;160138.16795;424294.31084;9.140100;AD640M00;;
999;999;160138.36278;424295.29168;9.140700;AD640M00;;
999;999;160138.55760;424296.27252;9.142700;AD640M00;;
999;999;160138.75242;424297.25336;9.141300;AD640M00;;
999;999;160138.94724;424298.23419;9.155400;AD640M00;;
999;999;160139.14207;424299.21503;9.199400;AD640M00;;
999;999;160139.33689;424300.19587;9.118800;AD640M00;;
999;999;160139.53171;424301.17671;9.095300;AD640M00;;
999;999;160139.72654;424302.15755;9.081700;AD640M00;;
999;999;160139.92136;424303.13839;9.080900;AD640M00;;
999;999;160140.11618;424304.11922;9.050400;AD640M00;;
999;999;160140.31101;424305.10006;9.069900;AD640M00;;
999;999;160140.50583;424306.08090;9.039900;AD640M00;;
999;999;160140.70065;424307.06174;9.019900;AD640M00;;
999;999;160140.89548;424308.04258;9.054500;AD640M00;;
999;999;160141.09030;424309.02342;9.009500;AD640M00;;
999;999;160141.28512;424310.00426;8.989800;AD640M00;;
999;999;160141.47994;424310.98509;9.012100;AD640M00;;
999;999;160141.67477;424311.96593;8.983600;AD640M00;;
999;999;160141.86959;424312.94677;8.998200;AD640M00;;
999;999;160142.06441;424313.92761;8.966200;AD640M00;;
999;999;160142.25924;424314.90845;8.968500;AD640M00;;
999;999;160142.45406;424315.88929;8.933300;AD640M00;;
999;999;160142.64888;424316.87012;8.951700;AD640M00;;
999;999;160142.84371;424317.85096;8.969200;AD640M00;;
999;999;160143.03853;424318.83180;8.942500;AD640M00;;
999;999;160143.23335;424319.81264;8.948900;AD640M00;;
999;999;160143.42818;424320.79348;8.922400;AD640M00;;
999;999;160143.62300;424321.77432;8.926700;AD640M00;;
999;999;160143.81782;424322.75515;8.869900;AD640M00;;
999;999;160144.01264;424323.73599;8.898900;AD640M00;;
999;999;160144.20747;424324.71683;8.860800;AD640M00;;
999;999;160144.40229;424325.69767;8.850400;AD640M00;;
999;999;160144.59711;424326.67851;8.747100;AD640M00;;
999;999;160144.79194;424327.65935;8.740900;AD640M00;;
999;999;160144.98676;424328.64019;8.644500;AD640M00;;
999;999;160145.18158;424329.62102;8.215100;AD640M00;;
999;999;160145.37641;424330.60186;7.922600;AD640M00;;
999;999;160145.57123;424331.58270;7.492100;AD640M00;;
999;999;160145.76605;424332.56354;7.082500;AD640M00;;
999;999;160145.96088;424333.54438;6.762900;AD640M00;;
999;999;159867.48910;424174.31224;4.919000;AD642M50;;
999;999;159867.60976;424175.30493;4.927600;AD642M50;;
999;999;159867.73043;424176.29762;999999.000000;AD642M50;;
999;999;159867.85110;424177.29031;999999.000000;AD642M50;;
999;999;159867.97176;424178.28301;999999.000000;AD642M50;;
999;999;159868.09243;424179.27570;999999.000000;AD642M50;;
999;999;159868.21310;424180.26839;999999.000000;AD642M50;;
999;999;159868.33376;424181.26109;999999.000000;AD642M50;;
999;999;159868.45443;424182.25378;999999.000000;AD642M50;;
999;999;159868.57510;424183.24647;999999.000000;AD642M50;;
999;999;159868.69576;424184.23917;999999.000000;AD642M50;;
999;999;159868.81643;424185.23186;999999.000000;AD642M50;;
999;999;159868.93710;424186.22455;999999.000000;AD642M50;;
999;999;159869.05776;424187.21725;999999.000000;AD642M50;;
999;999;159869.17843;424188.20994;4.957800;AD642M50;;
999;999;159869.29910;424189.20263;4.963200;AD642M50;;
999;999;159869.41977;424190.19532;4.970000;AD642M50;;
999;999;159869.54043;424191.18802;4.968200;AD642M50;;
999;999;159869.66110;424192.18071;4.976400;AD642M50;;
999;999;159869.78177;424193.17340;5.028500;AD642M50;;
999;999;159869.90243;424194.16610;5.059300;AD642M50;;
999;999;159870.02310;424195.15879;5.085000;AD642M50;;
999;999;159870.14377;424196.15148;5.126700;AD642M50;;
999;999;159870.26443;424197.14418;5.132200;AD642M50;;
999;999;159870.38510;424198.13687;5.150000;AD642M50;;
999;999;159870.50577;424199.12956;5.154200;AD642M50;;
999;999;159870.62643;424200.12225;5.150000;AD642M50;;
999;999;159870.74710;424201.11495;5.140000;AD642M50;;
999;999;159870.86777;424202.10764;999999.000000;AD642M50;;
999;999;159870.98843;424203.10033;999999.000000;AD642M50;;
999;999;159871.10910;424204.09303;999999.000000;AD642M50;;
999;999;159871.22977;424205.08572;999999.000000;AD642M50;;
999;999;159871.35043;424206.07841;999999.000000;AD642M50;;
999;999;159871.47110;424207.07111;999999.000000;AD642M50;;
