UittredepuntenID,X_uittrede,Y_uittrede,VakID,Vaknaam_x,Uittredelocatie,Opmerking_uittredepunt,DIST_L_GEOM,DIST_BUT,DIST_BIT,Bodemhoogte,MHW,Polderpeil,LOK_TOP_Z_HL,LOK_TOP_Z_PL,Scenarionaam,Scenariokans,Vaknaam_y,Scenariokans_vak,bodemhoogte_vak,Top_zand,Top_zand_max,Top_zand_min,D_cover_vak,gamma_sat_cover_vak,D70,Dikte_H_Rg_zm,Dikte_P_Rg_zg,Dikte_P_Rg_zm,Dikte_WVP,k_H_Rg_zm,k_P_Rg_zg,k_P_Rg_zm,kD_WVP,k_WVP,Weerstand_C3_achterland,Weerstand_C1_voorland,Leklengte_stat_voorland,Leklengte_stat_achterland,VerhLekLengteVoorland_Achterland,L3_geom,Onverst_stijghoogte_polder,lamb3_gem_stijgh,lamb_voorland_cycl_gemeten,lamb_achterland_cycl_gemeten,c_v,L1_geom,L2,W1,W3,r_BIT,r_exit,pot_exit,OK_deklaag,D_cover,h_exit,dH_red,L_kwelweg,Ratio_pipe_Lkwelweg,L_kwelweg_max_ratio,d_pot_c_u,Z_u,F_u,Beta_u,Pf_u,i_optredend,Z_h,F_h,Beta_h,Pf_h,F_u_macro,dHc_piping,Z_p,F_p,Beta_p,Pf_p,gamma_pip,BenodigdeKwelweglengte,P_f_i,MaatgevendMechanisme,P_f_iXS_i,dHc_piping_max_ratio,F_p_max_ratio,Beta_p_max_ratio,Pf_p_max_ratio,P_f_i_max_ratio,P_f_iXS_i_max_ratio
1,154135.04320000112,441579.29850000143,1,RB243.-RB249.,maaiveld,,401.9662399808703,29.744264056929826,7.665242800835117,7.4720001220703125,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,372.2219759239405,22.07902125609471,101.72140460416114,1193.8423964722026,0.9060440175729053,0.900245044962744,8.366433513032053,-4.0,11.472000122070312,7.4720001220703125,0.01,131.46566866109097,0.22625119059492554,59.48852811385965,7.823412927283424,6.928979536321683,8.746780930071594,8.307492999148176,4.8872573797129476e-17,0.07796664761543999,0.22203335238456,3.847799144574096,7.005486370926218,1.2306464728110305e-12,1.5603054048703495,5.00168830803552,4.9916883080355205,500.168830803552,20.645908402964444,5.3123209558446535e-95,1.4239301741936647,1.0,5.3123209558446535e-95,Piping,5.3123209558446535e-96,2.5138157499253864,251.38157499253865,18.786520026823492,4.867903056318948e-79,4.867903056318948e-79,4.8679030563189484e-80
2,154111.5614,441565.40790000185,1,RB243.-RB249.,maaiveld,,411.2045307935502,31.754001622239933,8.034263590328996,7.440999984741211,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,379.4505291713103,23.719738031910936,101.73943478330776,1193.8423964722026,0.9049048559208632,0.8988352767806428,8.35818636916676,-4.0,11.440999984741211,7.440999984741211,0.01,133.4934364055477,0.23786938502184146,63.508003244479866,7.802272160847981,6.885085776422432,8.506746603891962,8.247001320451748,8.120931183074241e-17,0.08016662753682317,0.2198333724631768,3.7422055687973166,6.947515178842142,1.858880379701779e-12,1.5571275242781968,5.070239195664568,5.060239195664568,507.0239195664568,20.682698884250733,2.4793762314410182e-95,1.4239301741936647,1.0,2.4793762314410182e-95,Piping,2.4793762314410185e-96,2.6558283533473293,265.5828353347329,18.935046474534005,2.9331940813878474e-80,2.9331940813878474e-80,2.9331940813878475e-81
3,154144.96510000154,441556.80889999866,1,RB243.-RB249.,maaiveld,,425.9180053044915,54.30636793049881,30.623049412785743,5.025000095367432,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,371.61163737399266,23.683318517713065,101.71976197861723,1193.8423964722026,0.9049433311043132,0.8820225118001128,8.25983169403066,-4.0,9.025000095367432,5.025000095367432,1.2174998760223383,156.02612990911604,0.34805944339023104,108.61273586099762,6.154663673599196,2.919832074935967,1.9026225897331308,4.99129192486916,2.998838505247197e-07,0.3584300902471659,-0.05843009024716589,0.836983300685292,3.827460341408829,6.47361182698632e-05,1.2381624925860637,5.827064992789872,4.609565116767533,4.7860908305200995,8.080417226343565,3.227277816875604e-16,1.4239301741936647,37.636435461720524,3.227277816875604e-16,Piping,3.227277816875604e-17,4.223691067938532,3.4691511277501244,7.210676590058475,2.7837271573028727e-13,2.7837271573028727e-13,2.783727157302873e-14
4,154111.8920999989,441501.5769999996,1,RB243.-RB249.,maaiveld,,471.34632168087785,86.56805277768653,62.173890923859,4.6659722328186035,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,384.7782689031913,24.394161853827534,101.75117975545317,1193.8423964722026,0.9044344595256432,0.8585239757603085,8.122365258197805,-4.0,8.665972232818604,4.6659722328186035,1.6842360973358148,188.3192325331397,0.45968779509789376,173.13610555537306,5.909822042564368,2.453429017185167,1.7098235065197775,4.759024333174967,9.72654928060646e-07,0.39884653822102206,-0.09884653822102207,0.7521689954690143,3.6048705660352267,0.0001561542694071878,1.2023886399171173,6.897289954880996,5.213053857545182,4.095203734079431,7.659072632545394,9.364023263614033e-15,1.4239301741936647,56.22575274602206,9.364023263614033e-15,Piping,9.364023263614033e-16,6.39609864716314,3.797625913184451,7.45517977800751,4.487268613799098e-14,4.487268613799098e-14,4.4872686137990984e-15
5,154075.1810999997,441538.2879999988,1,RB243.-RB249.,maaiveld,,419.5649018853454,35.702031761429836,11.203806406463233,7.026000022888184,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,383.86287012391557,24.498225354966603,101.74924807613104,1193.8423964722026,0.9043644858509932,0.8959165675146457,8.341111919960676,-4.0,11.026000022888184,7.026000022888184,0.01,137.4512798375609,0.2597431744806035,71.40406352285967,7.51925995444668,6.204148057374187,5.71758188119577,7.383276105652382,7.722064040028957e-14,0.11927370708711538,0.1807262929128846,2.515223240113476,6.119778514659417,4.68527560831404e-10,1.5027219668382976,5.203821905949763,5.193821905949763,520.3821905949762,20.752983593471228,5.76075075297848e-96,1.4239301741936647,1.0,5.76075075297848e-96,Piping,5.760750752978481e-97,2.9336499916912806,293.36499916912805,19.2039404614949,1.7152615174651433e-82,1.7152615174651433e-82,1.7152615174651435e-83
6,154061.95190000162,441534.31920000166,1,RB243.-RB249.,maaiveld,,413.91285008829465,31.72433582428275,7.087408423059382,7.485000133514404,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,382.18851426401187,24.636927401223367,101.74562384105806,1193.8423964722026,0.9042719564866053,0.8989193399751279,8.358678138854497,-4.0,11.485000133514404,7.485000133514404,0.01,133.4699596653408,0.23768895940200735,63.4486716485655,7.83227837851288,6.9586003731727875,8.964719645728112,8.360995380682644,3.1095640999842647e-17,0.07607122291541042,0.22392877708458958,3.9436726333898116,7.056759486563417,8.52151158029249e-13,1.5630537744401334,5.069445971603197,5.059445971603197,506.9445971603197,20.682276021255774,2.5012065076417636e-95,1.4239301741936647,1.0,2.5012065076417636e-95,Piping,2.5012065076417636e-96,2.6537350378993336,265.37350378993335,18.932915372899032,3.0543112958306507e-80,3.0543112958306507e-80,3.054311295830651e-81
7,154064.5976999998,441511.8295999989,1,RB243.-RB249.,maaiveld,,432.65391127956593,51.951420528156866,27.20454692502582,5.3379998207092285,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,380.7024907514091,24.746873603131046,101.7423060400459,1193.8423964722026,0.9041989285635903,0.8838248604900144,8.270375433866585,-4.0,9.337999820709229,5.3379998207092285,0.8106002330780022,153.69372656820278,0.3380191351213221,103.90284105631373,6.3681160856824395,3.435740472525083,2.1716577020723964,5.278808335990149,6.501336132387391e-08,0.3140260943948744,-0.0140260943948744,0.9553346214049423,4.102996902066445,2.0391635631837744e-05,1.2800028810074011,5.749128939721135,4.938528706643133,7.092434353109678,9.143429832168298,3.025117781392263e-20,1.4239301741936647,21.861343981028565,3.025117781392263e-20,Piping,3.025117781392263e-21,4.062054183907758,5.011168290050166,8.204620231354085,1.1566046101857588e-16,1.1566046101857588e-16,1.1566046101857588e-17
8,154072.20450000092,441482.7254000008,1,RB243.-RB249.,maaiveld,,459.6432600852823,80.43185863156275,55.57987425320614,4.458876609802246,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,379.21140145371953,24.851984378356605,101.73887830183848,1193.8423964722026,0.90412929862017,0.8629906438631592,8.14849526659948,-4.0,8.458876609802246,4.458876609802246,1.9534604072570794,182.17073693340123,0.44151909349176854,160.8637172631255,5.768591694146485,2.0789730373492503,1.5634655585663961,4.564491108452271,2.50353710404941e-06,0.4361830568046898,-0.13618305680468978,0.6877846246428856,3.4184428923426426,0.00031490266349295604,1.1711300858028963,6.69473921874107,4.7412788114839906,3.4271179461176704,7.177729905643106,3.5439203375985655e-13,1.4239301741936647,67.07704934237869,3.5439203375985655e-13,Piping,3.543920337598566e-14,5.988425036200526,3.0655471766684426,6.87639590193389,3.069287696111314e-12,3.069287696111314e-12,3.0692876961113145e-13
9,154042.43879999965,441518.77490000054,1,RB243.-RB249.,maaiveld,,412.90545564184674,33.94822404699238,9.045640311179397,7.270999908447266,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,378.95723159485436,24.902583735812982,101.73828394710824,1193.8423964722026,0.9040950604065785,0.8972703942504219,8.349031806364968,-4.0,11.270999908447266,7.270999908447266,0.01,135.68650799410062,0.2501960183725001,67.89644809398476,7.686339387106239,6.608307489188537,7.12997398495626,7.863192666043575,1.8723218774741897e-15,0.09564651820374434,0.20435348179625565,3.136549093830534,6.579698551700976,2.3570150967296887e-11,1.5351275786481065,5.144293544459433,5.1342935444594335,514.4293544459433,20.72188822369128,1.0994538279453207e-95,1.4239301741936647,1.0,1.0994538279453207e-95,Piping,1.0994538279453207e-96,2.810420745182811,281.0420745182811,19.087958906944063,1.5897593299275597e-81,1.5897593299275597e-81,1.5897593299275598e-82
10,154015.98050000146,441502.23849999905,1,RB243.-RB249.,maaiveld,,408.2199003596343,33.7017921888145,9.538242813850086,7.36899995803833,8.95,3.1,,,P_S1_PL,,RB243.-RB249.,0.1,4.3,-4.0,-3.0,-6.0,8.3,16.5,0.0002528373248929175,,13.0,20.0,33.0,20,75,55,2075,62.878787878787875,695.0000000000001,5,101.85774393731681,1200.8850902563493,0.08481889296799709,3500,,,,,,374.5181081708198,24.163549374964415,101.7274111216525,1193.8423964722026,0.9046087909865635,0.8974098477985296,8.349847609621397,-4.0,11.36899995803833,7.36899995803833,0.01,135.429203310467,0.24885173481789044,67.403584377629,7.753171225206566,6.772323573623499,7.904562153656699,8.087393741804217,3.0477483980054134e-16,0.08627387239011901,0.21372612760988097,3.477298418267813,6.794557915971592,5.43225824769454e-12,1.5483730478056577,5.135609567660112,5.1256095676601126,513.5609567660113,20.71732199132652,1.2088184986077478e-95,1.4239301741936647,1.0,1.2088184986077478e-95,Piping,1.2088184986077478e-96,2.79308188922771,279.308188922771,19.071232967662446,2.1892930682632664e-81,2.1892930682632664e-81,2.1892930682632665e-82
