CODE;SUBCODE;X;Y;Z;RFLNAAM
99;999;75491.96;437400.83;-10.88;RB0.03
99;999;75491.55;437400.55;-10.79;RB0.03
99;999;75491.14;437400.27;-10.73;RB0.03
99;999;75490.72;437399.99;-10.66;RB0.03
99;999;75490.31;437399.7;-10.59;RB0.03
99;999;75489.9;437399.42;-10.5;RB0.03
99;999;75489.48;437399.14;-10.4;RB0.03
99;999;75489.07;437398.86;-10.3;RB0.03
99;999;75488.66;437398.58;-10.2;RB0.03
99;999;75488.24;437398.3;-10.07;RB0.03
99;999;75487.83;437398.01;-9.99;RB0.03
99;999;75487.42;437397.73;-9.9;RB0.03
99;999;75487.01;437397.45;-9.79;RB0.03
99;999;75486.59;437397.17;-9.68;RB0.03
99;999;75486.18;437396.89;-9.57;RB0.03
99;999;75485.77;437396.6;-9.44;RB0.03
99;999;75485.35;437396.32;-9.34;RB0.03
99;999;75484.94;437396.04;-9.2;RB0.03
99;999;75484.53;437395.76;-9.04;RB0.03
99;999;75484.11;437395.48;-8.91;RB0.03
99;999;75483.7;437395.2;-8.75;RB0.03
99;999;75483.29;437394.91;-8.67;RB0.03
99;999;75482.88;437394.63;-8.54;RB0.03
99;999;75482.46;437394.35;-8.45;RB0.03
99;999;75482.05;437394.07;-8.38;RB0.03
99;999;75481.64;437393.79;-8.33;RB0.03
99;999;75481.22;437393.5;-8.25;RB0.03
99;999;75480.81;437393.22;-8.21;RB0.03
99;999;75480.4;437392.94;-8.07;RB0.03
99;999;75479.98;437392.66;-7.92;RB0.03
99;999;75479.57;437392.38;-7.77;RB0.03
99;999;75479.16;437392.1;-7.6;RB0.03
99;999;75478.75;437391.81;-7.42;RB0.03
99;999;75478.33;437391.53;-7.15;RB0.03
99;999;75477.92;437391.25;-6.94;RB0.03
99;999;75477.51;437390.97;-6.75;RB0.03
99;999;75477.09;437390.69;-6.57;RB0.03
99;999;75476.68;437390.41;-6.42;RB0.03
99;999;75476.27;437390.12;-6.25;RB0.03
99;999;75475.85;437389.84;-6.05;RB0.03
99;999;75475.44;437389.56;-5.91;RB0.03
99;999;75475.03;437389.28;-5.85;RB0.03
99;999;75474.61;437389;-5.85;RB0.03
99;999;75474.2;437388.71;-5.83;RB0.03
99;999;75473.79;437388.43;-5.81;RB0.03
99;999;75473.38;437388.15;-5.81;RB0.03
99;999;75472.96;437387.87;-5.8;RB0.03
99;999;75472.55;437387.59;-5.79;RB0.03
99;999;75472.14;437387.31;-5.78;RB0.03
99;999;75471.72;437387.02;-5.77;RB0.03
99;999;75471.31;437386.74;-5.68;RB0.03
99;999;75470.9;437386.46;-5.57;RB0.03
99;999;75470.48;437386.18;-5.39;RB0.03
99;999;75470.07;437385.9;-5.21;RB0.03
99;999;75469.66;437385.61;-5.05;RB0.03
99;999;75469.25;437385.33;-4.92;RB0.03
99;999;75468.83;437385.05;-4.84;RB0.03
99;999;75468.42;437384.77;-4.79;RB0.03
99;999;75468.01;437384.49;-4.77;RB0.03
99;999;75467.59;437384.21;-4.75;RB0.03
99;999;75467.18;437383.92;-4.71;RB0.03
99;999;75466.77;437383.64;-4.67;RB0.03
99;999;75466.35;437383.36;-4.65;RB0.03
99;999;75465.94;437383.08;-4.6;RB0.03
99;999;75465.53;437382.8;-4.6;RB0.03
99;999;75465.12;437382.51;-4.57;RB0.03
99;999;75464.7;437382.23;-4.54;RB0.03
99;999;75464.29;437381.95;-4.49;RB0.03
99;999;75463.88;437381.67;-4.45;RB0.03
99;999;75463.46;437381.39;-4.42;RB0.03
99;999;75463.05;437381.11;-4.4;RB0.03
99;999;75462.64;437380.82;-4.37;RB0.03
99;999;75462.22;437380.54;-4.35;RB0.03
99;999;75461.81;437380.26;-4.38;RB0.03
99;999;75461.4;437379.98;-4.35;RB0.03
99;999;75460.99;437379.7;-4.32;RB0.03
99;999;75460.57;437379.41;-4.3;RB0.03
99;999;75460.16;437379.13;-4.3;RB0.03
99;999;75459.75;437378.85;-4.32;RB0.03
99;999;75459.33;437378.57;-4.33;RB0.03
99;999;75458.92;437378.29;-4.36;RB0.03
99;999;75458.51;437378.01;-4.37;RB0.03
99;999;75458.09;437377.72;-4.37;RB0.03
99;999;75457.68;437377.44;-4.34;RB0.03
99;999;75457.27;437377.16;-4.35;RB0.03
99;999;75456.86;437376.88;-4.32;RB0.03
99;999;75456.44;437376.6;-4.32;RB0.03
99;999;75456.03;437376.31;-4.32;RB0.03
99;999;75455.62;437376.03;-4.33;RB0.03
99;999;75455.2;437375.75;-4.33;RB0.03
99;999;75454.79;437375.47;-4.34;RB0.03
99;999;75454.38;437375.19;-4.33;RB0.03
